dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep10M,1,"IVF512,Flat",cpu,7876.16027841568,0.1269654202874035,100,100,100,2.7
deep10M,2,"IVF512,Flat",cpu,128.0344659090042,7.810396934140477,100,100,100,46.7
deep10M,4,"IVF512,Flat",cpu,236.65395574569703,4.225579060569675,100,100,100,50.9
deep10M,8,"IVF512,Flat",cpu,89.78693962097168,11.137477279228131,100,100,100,64.8
deep10M,16,"IVF512,Flat",cpu,88.91484363079071,11.246716061857928,100,100,100,63.5
deep10M,32,"IVF512,Flat",cpu,84.57953352928162,11.823191241103236,100,100,100,88.1
deep10M,64,"IVF512,Flat",cpu,109.1998173236847,9.15752447676583,100,100,100,89.7
deep10M,128,"IVF512,Flat",cpu,97.1049373626709,10.298137532030584,100,100,100,96.1
deep10M,256,"IVF512,Flat",cpu,102.9089004278183,9.717332474088709,100,100,100,95.3
deep10M,512,"IVF512,Flat",cpu,118.6343825340271,8.429259533703704,100,100,100,93.5
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep10M,1,"IVF1024,Flat",cpu,11079.973730826378,0.09025292155863414,100,100,100,3.6
deep10M,2,"IVF1024,Flat",cpu,126.9398429632187,7.877747259304187,100,100,100,44.8
deep10M,4,"IVF1024,Flat",cpu,247.97641887664795,4.032641508938939,100,100,100,46.1
deep10M,8,"IVF1024,Flat",cpu,97.12808566093445,10.295683202188412,100,100,100,54.7
deep10M,16,"IVF1024,Flat",cpu,80.09944167137147,12.484481528632333,100,100,100,70.1
deep10M,32,"IVF1024,Flat",cpu,116.54557373523713,8.580334438712825,100,100,100,85.7
deep10M,64,"IVF1024,Flat",cpu,105.65240898132325,9.464999517207179,100,100,100,92.7
deep10M,128,"IVF1024,Flat",cpu,89.83251180648804,11.13182721812501,100,100,100,94.9
deep10M,256,"IVF1024,Flat",cpu,94.35429830551148,10.598351298868039,100,100,100,96.9
deep10M,512,"IVF1024,Flat",cpu,98.29570019245148,10.173384980646325,100,100,100,95.8
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep10M,1,"IVF2048,Flat",cpu,2672.627078652382,0.37416368635471203,100,100,100,4.4
deep10M,2,"IVF2048,Flat",cpu,100.41452267169953,9.958718852545383,100,100,100,46.0
deep10M,4,"IVF2048,Flat",cpu,265.2311477899551,3.770296242852787,100,100,100,41.7
deep10M,8,"IVF2048,Flat",cpu,104.97532815933228,9.526047858428155,100,100,100,63.4
deep10M,16,"IVF2048,Flat",cpu,83.53063399791718,11.971655812224949,100,100,100,71.4
deep10M,32,"IVF2048,Flat",cpu,73.99355068206788,13.514691358666575,100,100,100,83.9
deep10M,64,"IVF2048,Flat",cpu,71.14452266693115,14.055895837288572,100,100,100,87.0
deep10M,128,"IVF2048,Flat",cpu,75.76255087852478,13.199133191850517,100,100,100,93.0
deep10M,256,"IVF2048,Flat",cpu,82.86127619743347,12.068363485221989,100,100,100,93.9
deep10M,512,"IVF2048,Flat",cpu,83.75184218883514,11.94003587103555,100,100,100,97.0
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep10M,1,"IVF4096,Flat",cpu,1295.5897619724274,0.771849260739436,100,100,100,9.8
deep10M,2,"IVF4096,Flat",cpu,119.39743323326111,8.375389427730388,100,100,100,47.4
deep10M,4,"IVF4096,Flat",cpu,265.1992121934891,3.770750266295667,100,100,100,43.5
deep10M,8,"IVF4096,Flat",cpu,104.54363894462585,9.565383509652605,100,100,100,50.7
deep10M,16,"IVF4096,Flat",cpu,85.80038475990295,11.654959389731426,100,100,100,53.8
deep10M,32,"IVF4096,Flat",cpu,116.41972455978393,8.58960973994127,100,100,100,65.2
deep10M,64,"IVF4096,Flat",cpu,83.31569037437438,12.002541124085463,100,100,100,74.5
deep10M,128,"IVF4096,Flat",cpu,103.82284977436066,9.631791095826314,100,100,100,84.7
deep10M,256,"IVF4096,Flat",cpu,87.94140710830689,11.37120763565245,100,100,100,93.1
deep10M,512,"IVF4096,Flat",cpu,121.19330108165741,8.251281144047903,100,100,100,95.8
,,,,,,,,,
